GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UnitTestingExercise,tasks,Dates,9,46,0,10,2,7,1,9,1,4
UnitTestingExercise,tasks,Deductible,11,31,1,9,3,9,2,6,1,2
